Abdo, H.: 0
Abdul-Rahman, A.: 1
Abel, P.: 2
Abello, J.: 3
Abowd, G.D.: 4
Abrams, M.: 5
Adams, D.: 6
Adar, E.: 7
Afergan, D.: 8
Afzal, S.: 9
Aggarwal, V.: 10
Agnihotri, M.: 11
Agrawala, M.: 12
Agutter, J.: 13
Ahlberg, C.: 14
Aigner, W.: 15
Al-Awami, A.K.: 16
Albers Szafir, D.: 17
Albo, Y.: 18
Albuquerque, G.: 19
Alexa, M.: 20
Alexander, J.: 21
Allan, J.: 22
Allendoerfer, K.: 23
Alligier, R.: 24
Alper, B.: 25
Alper, N.: 26
Alsallakh, B.: 27
Aluker, S.: 28
Amar, R.: 29
Amenta, N.: 30
Amini, F.: 31
Anand, A.: 32
Ancuta, O.: 33
Andrews, K.: 34
Andrienko, G.: 35
Andrienko, N.: 36
André, E.: 37
Angus, D.: 38
Angus, I.G.: 39
Ankerst, M.: 40
Anupam, V.: 41
Appel, A.W.: 42
Arbesser, C.: 43
Archambault, D.: 44
Aris, A.: 45
Armstrong, Z.: 46
Artero, A.O.: 47
Au, N.: 48
Auber, D.: 49
Avidan, T.: 50
Bach, B.: 51
Bachynskyi, M.: 52
Badam, S.K.: 53
Badawood, D.: 54
Badre, A.: 55
Bae, J.: 56
Bailly, G.: 57
Bainbridge, C.M.: 58
Bak, P.: 59
Baker, J.: 60
Bakke, E.: 61
Balakrishnan, R.: 62
Balakrishnan, S.: 63
Balzer, M.: 64
Banks, D.C.: 65
Bao, C.: 66
Bao, Y.: 67
Barbosa, S.D.: 68
Barford, A.: 69
Barlow, T.: 70
Barry, P.: 71
Barsky, A.: 72
Bartram, L.: 73
Basalaj, W.: 74
Basole, R.C.: 75
Batch, A.: 76
Baudel, T.: 77
Baur, D.: 78
Beale, R.: 79
Beck, F.: 80
Becker, B.G.: 81
Bederson, B.B.: 82
Beecham, R.: 83
Been, K.: 84
Beigel, R.: 85
Bendix, F.: 86
Berchtold, S.: 87
Berger, M.: 88
Berger, W.: 89
Bergeron, R.D.: 90
Bermudez, J.: 91
Bernstein, M.S.: 92
Bertini, E.: 93
Besançon, L.: 94
Beyer, J.: 95
Bezerianos, A.: 96
Bhaskar, A.S.: 97
Bhatele, A.: 98
Bielser, D.: 99
Bigelow, A.: 100
Bingham, G.P.: 101
Birol, I.: 102
Bjork, S.: 103
Blaas, J.: 104
Blanch, R.: 105
Blascheck, T.: 106
Block, F.: 107
Bogl, M.: 108
Boltman, A.: 109
Borgo, R.: 110
Boring, S.: 111
Borkin, D.: 112
Borkin, M.: 113
Borner, K.: 114
Borowsky, M.: 115
Bosch, R.: 116
Bosche, R.: 117
Boscoe, F.P.: 118
Bostock, M.: 119
Botha, C.: 120
Botros, J.: 121
Bottger, J.: 122
Boukhelifa, N.: 123
Boy, J.: 124
Boyack, K.W.: 125
Boyd, D.: 126
Boyd, M.: 127
Boyle, J.M.: 128
Brady, R.: 129
Brainerd, J.: 130
Brandes, U.: 131
Brath, R.: 132
Bray, M.: 133
Breeuwer, M.: 134
Brehmer, M.: 135
Bremer, P.-T.: 136
Bresciani, S.: 137
Brewer, I.: 138
Brodbeck, D.: 139
Broeskema, B.: 140
Brown, D.C.: 141
Brown, E.T.: 142
Bruckner, S.: 143
Brunsdon, C.: 144
Bryan, C.: 145
Buchin, K.: 146
Buering, T.: 147
Buja, A.: 148
Burch, M.: 149
Burks, M.B.: 150
Burlinson, D.: 151
Burton, C.A.: 152
Buscher, M.: 153
Butkiewicz, T.: 154
Butz, A.: 155
Bylinskii, Z.: 156
Byrne, L.: 157
Byron, L.: 158
Cammarano, M.: 159
Canny, J.: 160
Cantareiro, G.: 161
Cao, N.: 162
Cappers, B.C.M.: 163
Card, S.K.: 164
Carenini, G.: 165
Carmel, L.: 166
Carpendale, S.: 167
Carpenter, A.E.: 168
Carriere, J.: 169
Castagliola, P.: 170
Caudell, T.P.: 171
Celes, W.: 172
Chalmers, M.: 173
Chan, B.: 174
Chanana, K.: 175
Chang, R.: 176
Chau, D.H.: 177
Che, L.: 178
Chen, B.: 179
Chen, C.: 180
Chen, H.: 181
Chen, J.: 182
Chen, M.: 183
Chen, R.: 184
Chen, W.: 185
Chen, X.: 186
Chen, Y.: 187
Chevalier, F.: 188
Chi, E.H.: 189
Chi, M.: 190
Chignell, M.H.: 191
Chircota, Y.: 192
Chiricota, Y.: 193
Chlan, E.B.: 194
Choe, E.K.: 195
Choi, J.: 196
Christel, M.G.: 197
Christensen, M.: 198
Christoph, B.: 199
Chu, X.: 200
Chuah, M.C.: 201
Chul, B.: 202
Claessen, J.H.T.: 203
Claffy, K.: 204
Clarke, K.: 205
Clarkson, E.: 206
Clear, T.: 207
Cleveland, W.S.: 208
Cohe, A.: 209
Coimbra, D.: 210
Coles, K.: 211
Collins, C.: 212
Comba, J.L.D.: 213
Conklin, N.: 214
Conversy, S.: 215
Cook, D.: 216
Cooper, M.: 217
Cordeil, M.: 218
Corman, S.R.: 219
Correll, M.: 220
Cortese, P.F.: 221
Cotture, P.: 222
Cowley, W.: 223
Cowperthwaite, D.J.: 224
Cox, K.C.: 225
Craig, P.: 226
Crampes, M.: 227
Creem-Regehr, S.H.: 228
Crnovrsanin, T.: 229
Croall, J.: 230
Crow, V.: 231
Csallner, C.: 232
Cui, Q.: 233
Cui, W.: 234
Cuminato, J.A.: 235
Cvek, U.: 236
Czerwinski, M.: 237
D'Eletto, R.: 238
Dachselt, R.: 239
Daiches, E.: 240
Dang, T.N.: 241
Dar, S.: 242
Dasgupta, A.: 243
Davidson, G.S.: 244
Davies, J.: 245
Davison, G.: 246
Dawkes, H.: 247
Day, D.: 248
Dayal, U.: 249
DePace, A.: 250
Dearden, J.: 251
Demiralp, C.D.: 252
Deng, C.: 253
Deng, Z.: 254
Derthick, M.: 255
Desai, K.: 256
Detienne, F.: 257
Deussen, O.: 258
Dewey, C.: 259
Dhamija, R.: 260
Di Battista, G.: 261
Diakopoulos, N.: 262
Diamond, J.: 263
Diaz, F.: 264
Diehl, S.: 265
Dierich, F.: 266
Dillingham, I.: 267
Dillon, J.V.: 268
Dimara, E.: 269
Dinkla, K.: 270
Divis, K.: 271
Dix, A.: 272
Do, E.Y.: 273
Doleisch, H.: 274
Donath, J.: 275
Dong, M.: 276
Dong, X.: 277
Dong, Z.: 278
Dontcheva, M.: 279
Dork, M.: 280
Dorling, D.: 281
Dou, W.: 282
Douma, M.: 283
Dove, A.: 284
Dove, G.: 285
Dragicevic, P.: 286
Draper, G.: 287
Dreezer, R.: 288
Drew, N.S.: 289
Drews, F.: 290
Drucker, S.M.: 291
Duarte, F.S.L.G.: 292
Duca, K.: 293
Duffy, A.: 294
Dumais, S.: 295
Dunmire, C.: 296
Dunne, C.: 297
Dwyer, T.: 298
Dykes, J.: 299
Eagan, J.: 300
Ebert, D.S.: 301
Ebert, J.: 302
Edsall, R.M.: 303
Eick, S.G.: 304
Eisemann, E.: 305
Eisemann, M.: 306
Ellis, G.: 307
Elmqvist, N.: 308
Endert, A.: 309
Eppler, M.J.: 310
Ernst, R.: 311
Ersoy, O.: 312
Espinosa, O.J.: 313
Evans, E.M.: 314
Eveillard, L.: 315
Fadel, S.G.: 316
Fanea, E.: 317
Fatore, F.M.: 318
Faust, R.: 319
