node,volatility,eign,closeness,betwness,centrality,community,density,name,type
604,1,3.112602421833699e-30,0.005847953216374269,0.0,1,22,1.0,"Keahey, T.A.",
961,1,3.112602421833699e-30,0.005847953216374269,0.0,1,22,1.0,"Robertson, E.L.",outgoing
26,1,3.112602421833699e-30,0.005847953216374269,0.0,1,19,1.0,"Alper, N.",outgoing
1098,1,3.112602421833699e-30,0.005847953216374269,0.0,1,19,1.0,"Stein, C.",outgoing
540,1,3.112602421833699e-30,0.005847953216374269,0.0,1,18,1.0,"Inselberg, A.",outgoing
50,1,3.112602421833699e-30,0.005847953216374269,0.0,1,18,1.0,"Avidan, T.",outgoing
934,1,3.112602421833699e-30,0.005847953216374269,0.0,1,28,1.0,"Rao, R.",outgoing
1151,1,3.112602421833699e-30,0.005847953216374269,0.0,1,28,1.0,"Tenev, T.",outgoing
987,1,3.112602421833699e-30,0.005847953216374269,0.0,1,16,1.0,"Rushall, D.A.",outgoing
536,1,3.112602421833699e-30,0.005847953216374269,0.0,1,16,1.0,"Ilgen, M.R.",outgoing
569,1,3.112602421833699e-30,0.005847953216374269,0.0,1,15,1.0,"Jin, L.",outgoing
65,1,3.112602421833699e-30,0.005847953216374269,0.0,1,15,1.0,"Banks, D.C.",outgoing
1153,1,3.112602421833699e-30,0.005847953216374269,0.0,1,29,1.0,"Teraoka, T.",outgoing
758,1,3.112602421833699e-30,0.005847953216374269,0.0,1,29,1.0,"Maruyama, M.",outgoing
734,1,3.112602421833699e-30,0.005847953216374269,0.0,1,12,1.0,"Luders, P.",outgoing
311,1,3.112602421833699e-30,0.005847953216374269,0.0,1,12,1.0,"Ernst, R.",outgoing
90,1,3.112602421833699e-30,0.005847953216374269,0.0,1,35,1.0,"Bergeron, R.D.",outgoing
1254,1,3.112602421833699e-30,0.005847953216374269,0.0,1,35,1.0,"Wilson, R.M.",outgoing
1097,0,3.112602421833699e-30,0.005847953216374269,0.0,1,10,1.0,"Stasko, J.",
564,1,3.112602421833699e-30,0.005847953216374269,0.0,1,10,1.0,"Jerding, D.F.",outgoing
14,1,3.112602421833699e-30,0.005847953216374269,0.0,1,7,1.0,"Ahlberg, C.",outgoing
1259,1,3.112602421833699e-30,0.005847953216374269,0.0,1,7,1.0,"Wistrand, E.",outgoing
603,1,3.112602421833699e-30,0.005847953216374269,0.0,1,6,1.0,"Kazman, R.",outgoing
169,1,3.112602421833699e-30,0.005847953216374269,0.0,1,6,1.0,"Carriere, J.",outgoing
647,1,3.112602421833699e-30,0.005847953216374269,0.0,1,39,1.0,"Korn, J.",
42,1,3.112602421833699e-30,0.005847953216374269,0.0,1,39,1.0,"Appel, A.W.",outgoing
1074,3,3.112602421833699e-30,0.005847953216374269,0.0,1,40,1.0,"Smith, G.",outgoing
360,1,3.112602421833699e-30,0.005847953216374269,0.0,1,40,1.0,"Frecon, E.",outgoing
82,2,3.112602421833699e-30,0.005847953216374269,0.0,1,43,1.0,"Bederson, B.B.",
109,1,3.112602421833699e-30,0.005847953216374269,0.0,1,43,1.0,"Boltman, A.",outgoing
39,1,3.112602421833699e-30,0.005847953216374269,0.0,1,8,1.0,"Angus, I.G.",outgoing
1083,1,3.112602421833699e-30,0.005847953216374269,0.0,1,8,1.0,"Sowizral, H.A.",outgoing
1320,1,3.112602421833699e-30,0.005847953216374269,0.0,1,23,1.0,"Zhou, M.X.",
323,1,3.112602421833699e-30,0.005847953216374269,0.0,1,23,1.0,"Feiner, S.K.",outgoing
1056,1,3.9203204459841713e-22,0.011695906432748537,0.0,2,25,1.0,"Shneiderman, B.",
1143,1,3.9203204459841713e-22,0.011695906432748537,0.0,2,25,1.0,"Tanin, E.",outgoing
85,1,3.9203204459841713e-22,0.011695906432748537,0.0,2,25,1.0,"Beigel, R.",outgoing
969,1,3.9203204459841713e-22,0.011695906432748537,0.0,2,33,1.0,"Rohrer, R.M.",outgoing
301,3,3.9203204459841713e-22,0.011695906432748537,0.0,2,33,1.0,"Ebert, D.S.",outgoing
1059,1,3.9203204459841713e-22,0.011695906432748537,0.0,2,33,1.0,"Sibert, J.L.",outgoing
1223,1,3.9203204459841713e-22,0.011695906432748537,0.0,2,32,1.0,"Ward, M.O.",
985,1,3.9203204459841713e-22,0.011695906432748537,0.0,2,32,1.0,"Rundensteiner, E.A.",
368,1,3.9203204459841713e-22,0.011695906432748537,0.0,2,32,1.0,"Fua, Y.-H.",outgoing
606,1,3.9203204459841713e-22,0.011695906432748537,0.0,2,38,1.0,"Keim, D.A.",
40,1,3.9203204459841713e-22,0.011695906432748537,0.0,2,38,1.0,"Ankerst, M.",outgoing
87,1,3.9203204459841713e-22,0.011695906432748537,0.0,2,38,1.0,"Berchtold, S.",outgoing
1186,1,1.5298754229909504e-26,0.007797270955165692,0.0,1,41,0.6666666666666666,"Van Selow, E.R.",outgoing
1337,2,1.5298754229909504e-26,0.007797270955165692,0.0,1,41,0.6666666666666666,"van de Wetering, H.",
1336,0,2.1635705719350775e-26,0.011695906432748537,6.879944960440316e-05,2,41,0.6666666666666666,"van Wijk, J.J.",
