,source,target,type
0,435,1328,outandin
1,773,62,outgoing
2,773,1317,outandin
3,773,191,outandin
4,773,324,outandin
5,773,492,outandin
6,773,583,incoming
7,1203,1149,outgoing
8,1203,728,outandin
9,1203,841,outandin
10,1149,728,outandin
11,1149,841,outandin
12,728,841,outandin
13,482,126,outandin
14,482,12,incoming
15,482,1249,outandin
16,482,962,outandin
17,482,744,outandin
18,482,1104,outandin
19,482,119,incoming
20,816,1071,outandin
21,816,499,outandin
22,816,44,outandin
23,816,49,outandin
24,816,1170,incoming
25,816,1089,outandin
26,816,371,outandin
27,816,1076,outandin
28,816,623,outandin
29,816,666,outandin
30,816,72,outandin
31,816,382,outandin
32,816,786,incoming
33,816,899,incoming
34,1071,499,outandin
35,258,64,outandin
36,258,122,outandin
37,258,606,outandin
38,258,848,outandin
39,258,1102,outandin
40,258,968,outandin
41,258,1112,incoming
42,64,122,outandin
43,1317,191,outandin
44,298,646,outandin
45,298,755,incoming
46,298,1021,outandin
47,298,1114,outandin
48,298,1272,outandin
49,298,1282,outandin
50,298,340,outandin
51,298,544,outandin
52,298,680,outandin
53,298,839,outandin
54,298,962,outandin
55,298,929,outandin
56,646,755,outandin
57,1159,1263,outgoing
58,1159,350,outgoing
59,1159,743,outandin
60,1159,300,outandin
61,1159,892,outandin
62,1263,350,outgoing
63,1263,743,outandin
64,1263,300,outandin
65,1263,892,outandin
66,1263,926,outandin
67,1263,1319,outandin
68,1263,234,outandin
69,1263,704,outandin
70,350,743,outandin
71,350,300,outandin
72,350,892,outandin
73,743,300,outandin
74,743,892,outandin
75,300,892,outandin
76,300,1097,outgoing
77,300,29,outandin
78,542,1054,outandin
79,542,698,outandin
80,542,587,outandin
81,542,677,outandin
82,1054,698,outandin
83,231,495,outandin
84,231,882,outandin
85,231,1179,outandin
86,495,882,outandin
87,495,1179,outandin
88,882,1179,outandin
89,13,723,outandin
90,13,801,outandin
91,13,352,outandin
92,723,801,outandin
93,723,352,outandin
94,801,352,outandin
95,131,692,outandin
96,131,342,outandin
97,692,342,outandin
98,1097,29,outgoing
99,1097,916,outandin
100,1097,760,outandin
101,1097,593,outandin
102,1097,1302,outandin
103,1097,550,outandin
104,1097,721,incoming
105,1097,822,outandin
106,1097,4,outandin
107,1097,970,outandin
108,1097,1122,outandin
109,1097,340,outandin
110,1097,680,outandin
111,1097,962,outandin
112,1097,331,outandin
113,1097,1120,outandin
114,714,354,outandin
115,714,1037,outandin
116,354,1037,outandin
117,565,571,outandin
118,565,217,outandin
119,565,724,outandin
120,571,217,outandin
121,571,724,outandin
122,571,572,outandin
123,571,1204,outandin
124,217,724,outandin
125,217,1204,outandin
126,648,476,outgoing
127,648,86,outandin
128,648,953,outandin
129,648,176,outandin
130,648,1240,outandin
131,648,1010,outandin
132,648,1326,incoming
133,476,86,outandin
134,476,762,outgoing
135,476,362,outandin
136,951,194,outandin
137,951,1047,outandin
138,951,1332,incoming
139,167,317,outandin
140,167,545,outandin
141,167,212,outandin
142,167,544,incoming
143,167,501,outandin
144,167,1018,outandin
145,167,1251,incoming
146,167,280,incoming
147,167,1163,outandin
148,167,887,outandin
149,317,545,outandin
150,1247,32,incoming
151,1247,432,outandin
152,32,432,outandin
153,999,795,outandin
154,999,1292,outandin
155,999,998,outandin
156,999,517,outandin
157,999,597,outandin
158,795,1292,outandin
159,795,998,outandin
160,795,517,outandin
161,795,597,outandin
162,1292,998,outandin
163,1292,517,outandin
164,1292,597,outandin
165,998,517,outandin
166,998,597,outandin
167,517,597,outandin
168,1320,10,outandin
169,1320,1238,outandin
170,10,1238,outandin
171,180,23,outandin
172,180,28,outandin
173,180,870,outandin
174,180,919,outandin
175,180,1115,outandin
176,180,1206,outandin
177,180,1312,outandin
178,180,699,outandin
179,23,28,outandin
180,23,870,outandin
181,23,919,outandin
182,23,1115,outandin
183,23,1206,outandin
184,28,870,outandin
185,28,919,outandin
186,28,1115,outandin
187,28,1206,outandin
188,870,919,outandin
189,870,1115,outandin
190,870,1206,outandin
191,919,1115,outandin
192,919,1206,outandin
193,1115,1206,outandin
194,606,1020,outandin
195,606,464,outgoing
196,606,249,outgoing
197,606,1066,outgoing
198,606,840,outgoing
199,606,871,outgoing
200,606,752,outandin
201,606,950,outandin
202,606,1049,outandin
203,606,848,outandin
204,606,1102,outandin
205,606,968,outandin
206,606,1112,outandin
207,606,553,outandin
208,606,59,outandin
209,1020,464,outandin
210,1020,249,outandin
211,464,249,outgoing
212,1047,1332,outandin
213,462,1287,outandin
214,462,901,outandin
215,462,1301,outandin
216,462,744,outandin
217,462,1104,outgoing
218,462,1135,incoming
219,462,174,outandin
220,462,159,outandin
221,462,630,outandin
222,462,277,outandin
223,462,455,outandin
224,462,1278,outandin
225,1287,901,outandin
226,1287,1301,outandin
227,901,1301,outandin
228,839,1005,outgoing
229,839,681,outandin
230,839,1304,outandin
231,839,340,outandin
232,839,544,outandin
233,839,680,outandin
234,839,962,outandin
235,839,929,outandin
236,1005,681,outandin
237,956,461,outandin
238,956,365,outandin
239,461,365,outandin
240,1334,3,outgoing
241,1334,651,outandin
242,1334,1227,outandin
243,1334,1200,outandin
244,1334,775,outandin
245,1334,652,outandin
246,1334,967,outandin
247,1334,889,outandin
248,3,651,outandin
249,324,492,outandin
250,324,308,outandin
251,324,286,incoming
252,324,96,incoming
253,492,96,outandin
254,1336,918,outandin
255,1336,1201,outandin
256,1336,1340,outandin
257,1056,889,outandin
258,1056,45,outandin
259,1056,909,incoming
260,1056,1220,outandin
261,1056,1091,outandin
262,1056,974,outandin
263,1056,754,outandin
264,1056,812,outandin
265,1056,1075,outandin
266,12,1249,outandin
267,12,744,outandin
268,12,1104,outandin
269,1294,1223,outgoing
270,1294,985,outgoing
271,1294,233,outandin
272,1223,985,outgoing
273,1223,233,outandin
274,985,233,outandin
275,307,272,outandin
276,221,261,outandin
277,221,799,outandin
278,221,879,outandin
279,221,908,outandin
280,261,799,outandin
281,261,879,outandin
282,261,908,outandin
283,799,879,outandin
284,799,908,outandin
285,879,908,outandin
286,1066,840,outandin
287,1066,871,outgoing
288,840,871,outgoing
289,840,752,outandin
290,840,950,outandin
291,840,1049,outandin
292,281,69,outandin
293,281,825,outandin
294,69,825,outandin
295,704,779,outandin
296,704,67,outandin
297,704,1221,outandin
298,704,1068,outandin
299,704,926,outandin
300,704,1319,outandin
301,704,234,outandin
302,779,67,outandin
303,779,1221,outandin
304,779,1068,outandin
305,67,1221,outandin
