,community,density
0,0,0.2222222222222222
1,1,1.0
2,2,1.0
3,3,0.18461538461538463
4,4,0.3181818181818182
5,5,0.6190476190476191
6,6,0.5111111111111111
7,7,1.0
8,8,0.33986928104575165
9,9,0.5714285714285714
10,10,1.0
11,11,0.2545454545454545
12,12,0.35
13,13,0.39285714285714285
14,14,1.0
15,15,1.0
16,16,0.21014492753623187
17,17,0.20652173913043478
18,18,1.0
19,19,1.0
20,20,0.12660028449502134
21,21,0.47619047619047616
22,22,0.20075757575757575
23,23,0.12310606060606061
24,24,0.24166666666666667
25,25,1.0
26,26,0.21637426900584794
27,27,1.0
28,28,0.225
29,29,1.0
30,30,1.0
31,31,1.0
32,32,0.7333333333333333
33,33,1.0
34,34,1.0
35,35,1.0
36,36,1.0
37,37,1.0
38,38,1.0
39,39,1.0
40,40,1.0
41,41,1.0
42,42,0.8545454545454545
43,43,1.0
44,44,1.0
45,45,1.0
46,46,1.0
47,47,1.0
48,48,1.0
49,49,1.0
50,50,1.0
