,node,volatility,eign,closeness,betwness,centrality,community,density,name,type
120,1135,1,6.67325867189312e-06,0.11338973291402756,0.0,1,0,0.375,"Talbot, J.",
315,767,1,1.4398721238387095e-05,0.12150956650512855,0.0,2,0,0.375,"Mayhua, A.",incoming
316,910,1,1.4398721238387095e-05,0.12150956650512855,0.0,2,0,0.375,"Poco, J.",incoming
61,509,1,2.0620113672614377e-05,0.12157130917103563,0.0,3,0,0.375,"Hoffswell, J.",incoming
62,988,1,2.0620113672614377e-05,0.12157130917103563,0.0,3,0,0.375,"Russell, R.",incoming
3,744,2,7.493904971982686e-05,0.13351134846461948,0.0,5,0,0.375,"Mackinlay, J.D.",incoming
63,1009,1,6.414845172074425e-05,0.1334368859166749,0.0012839121566652735,5,0,0.375,"Satyanarayan, A.",incoming
0,32,1,7.548112056944724e-05,0.13358589416448807,0.0034909934557552148,6,0,0.375,"Anand, A.",
396,709,1,3.962507868027337e-05,0.12175691422320516,0.0,6,0,0.375,"Lin, H.",incoming
397,821,1,3.962507868027337e-05,0.12175691422320516,0.0,6,0,0.375,"Nelson, G.L.",incoming
398,1073,1,3.962507868027337e-05,0.12175691422320516,0.0,6,0,0.375,"Smith, A.M.",incoming
399,1216,1,3.962507868027337e-05,0.12175691422320516,0.0,6,0,0.375,"Wang, C.",incoming
5,1264,1,0.00044289558029731086,0.15346525750391157,0.02540937248879395,8,0,0.375,"Wongsuphasawat, K.",
2,520,1,8.781527062193766e-05,0.13381003157080432,0.001939104084040502,9,0,0.375,"Howe, B.",incoming
4,804,1,9.302592863670818e-05,0.13388491127509689,0.001975582594549961,10,0,0.375,"Moritz, D.",incoming
1,482,1,0.00014844016413818417,0.14491358961150705,0.029794923805731285,16,0,0.375,"Heer, J.",
275,1077,1,4.015027034720594e-05,0.10685678269254047,0.0,2,1,0.16666666666666666,"Sondag, M.",incoming
276,1194,1,4.015027034720594e-05,0.10685678269254047,0.0,2,1,0.16666666666666666,"Verbeek, K.",
413,586,1,0.0003774469509876811,0.12415793277041937,0.0,2,1,0.16666666666666666,"Kachkaev, A.",
423,390,1,0.0006034246574563327,0.14173716614253443,0.0,2,1,0.16666666666666666,"Gerdes, J.",incoming
424,776,1,0.0006034246574563327,0.14173716614253443,0.0,2,1,0.16666666666666666,"Mccurdy, N.",incoming
7,928,1,0.0006729017260257047,0.14198951718017694,0.0,3,1,0.16666666666666666,"Quinan, P.S.",incoming
68,211,1,0.000668204417394958,0.14182118343129704,0.0,3,1,0.16666666666666666,"Coles, K.",incoming
